,Subject,Predicate,Object,SubjectTerm,PredicateTerm,ObjectTerm,Domain,Domain Version
51,http://purl.org/iot/vocab/m3-lite#Tesla,http://www.w3.org/2000/01/rdf-schema#label,Tesla,Tesla,label,Tesla,lov_fiesta-iot,v1-0-2
52,ub350bL775C26,http://www.w3.org/2002/07/owl#onProperty,http://purl.oclc.org/NET/ssnx/ssn#hasSubSystem,ub350bL775C26,onProperty,hasSubSystem,lov_fiesta-iot,v1-0-2
53,ub350bL1443C26,http://www.w3.org/2002/07/owl#onProperty,http://purl.org/iot/vocab/m3-lite#hasDomainOfInterest,ub350bL1443C26,onProperty,hasDomainOfInterest,lov_fiesta-iot,v1-0-2
54,http://purl.org/iot/vocab/m3-lite#Candela,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://sweet.jpl.nasa.gov/ontology/units.owl#candela,Candela,seeAlso,candela,lov_fiesta-iot,v1-0-2
55,ub350bL2154C26,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction,ub350bL2154C26,type,Restriction,lov_fiesta-iot,v1-0-2
56,http://purl.org/iot/vocab/m3-lite#ElectricField900Mhz,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#ElectricField,ElectricField900Mhz,subClassOf,ElectricField,lov_fiesta-iot,v1-0-2
57,http://purl.org/iot/vocab/m3-lite#SkinConductance,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,SkinConductance,type,Class,lov_fiesta-iot,v1-0-2
58,http://purl.org/iot/ontology/fiesta-iot#,http://purl.org/dc/elements/1.1/creator,"Jorge Lanza, UC, Santander",fiesta-iot,creator,"Jorge Lanza, UC, Santander",lov_fiesta-iot,v1-0-2
59,ub350bL2790C26,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction,ub350bL2790C26,type,Restriction,lov_fiesta-iot,v1-0-2
60,ub350bL1765C26,http://www.w3.org/2002/07/owl#onProperty,http://purl.org/iot/vocab/m3-lite#hasDomainOfInterest,ub350bL1765C26,onProperty,hasDomainOfInterest,lov_fiesta-iot,v1-0-2
61,http://purl.org/iot/vocab/m3-lite#intUlThroughputKbps,http://www.w3.org/2000/01/rdf-schema#comment,Uplink Throughput.,intUlThroughputKbps,comment,Uplink Throughput.,lov_fiesta-iot,v1-0-2
62,http://purl.org/iot/vocab/m3-lite#WorkingStateDriver,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#WorkingState,WorkingStateDriver,subClassOf,WorkingState,lov_fiesta-iot,v1-0-2
63,http://purl.org/iot/vocab/m3-lite#KilometerPerHour,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#MeterPerSecond,KilometerPerHour,subClassOf,MeterPerSecond,lov_fiesta-iot,v1-0-2
64,ub350bL1128C26,http://www.w3.org/2002/07/owl#someValuesFrom,http://purl.org/iot/vocab/m3-lite#Transportation,ub350bL1128C26,someValuesFrom,Transportation,lov_fiesta-iot,v1-0-2
65,ub350bL2315C26,http://www.w3.org/2002/07/owl#someValuesFrom,http://purl.org/iot/vocab/m3-lite#Transportation,ub350bL2315C26,someValuesFrom,Transportation,lov_fiesta-iot,v1-0-2
66,http://purl.org/iot/vocab/m3-lite#QRCode,http://www.w3.org/2000/01/rdf-schema#comment,A tagging device can be QRCode.,QRCode,comment,A tagging device can be QRCode.,lov_fiesta-iot,v1-0-2
67,http://purl.org/iot/vocab/m3-lite#Humidity,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,Humidity,type,Class,lov_fiesta-iot,v1-0-2
68,http://purl.org/iot/vocab/m3-lite#Barcode,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,Barcode,type,Class,lov_fiesta-iot,v1-0-2
69,http://purl.oclc.org/NET/ssnx/ssn#Device,http://www.w3.org/2000/01/rdf-schema#subClassOf,ub350bL705C26,Device,subClassOf,ub350bL705C26,lov_fiesta-iot,v1-0-2
70,http://purl.org/iot/ontology/fiesta-iot#,http://purl.org/dc/elements/1.1/creator,"Amelie Gyrard, NUIG, Galway",fiesta-iot,creator,"Amelie Gyrard, NUIG, Galway",lov_fiesta-iot,v1-0-2
71,http://purl.org/iot/vocab/m3-lite#ReactivePower,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#Power,ReactivePower,subClassOf,Power,lov_fiesta-iot,v1-0-2
72,http://purl.org/iot/vocab/m3-lite#Invalid,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,Invalid,type,Class,lov_fiesta-iot,v1-0-2
73,http://purl.org/iot/ontology/fiesta-iot#,http://purl.org/dc/elements/1.1/description,http://ontology.fiesta-iot.eu/ontologyDocs/fiesta-iot.png,fiesta-iot,description,fiesta-iot.png,lov_fiesta-iot,v1-0-2
74,http://purl.org/iot/vocab/m3-lite#Meter,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://sweet.jpl.nasa.gov/ontology/units.owl#meter,Meter,seeAlso,meter,lov_fiesta-iot,v1-0-2
75,http://purl.org/iot/vocab/m3-lite#AirTemperature,http://www.w3.org/2000/01/rdf-schema#label,"Air Temperature, Weather Temperature, Ambient Temperature",AirTemperature,label,"Air Temperature, Weather Temperature, Ambient Temperature",lov_fiesta-iot,v1-0-2
76,http://purl.oclc.org/NET/UNIS/fiware/iot-lite#Polygon,http://www.w3.org/2000/01/rdf-schema#label,Polygon,Polygon,label,Polygon,lov_fiesta-iot,v1-0-2
77,ub350bL2334C26,http://www.w3.org/2002/07/owl#onProperty,http://purl.org/iot/vocab/m3-lite#hasDomainOfInterest,ub350bL2334C26,onProperty,hasDomainOfInterest,lov_fiesta-iot,v1-0-2
78,http://purl.oclc.org/NET/ssnx/ssn#Observation,http://www.w3.org/2000/01/rdf-schema#comment,An Observation is a Situation in which a Sensing method has been used to estimate or calculate a value of a Property of a FeatureOfInterest.  Links to Sensing and Sensor describe what made the Observation and how; links to Property and Feature detail what was sensed; the result is the output of a Sensor; other metadata details times etc.,Observation,comment,An Observation is a Situation in which a Sensing method has been used to estimate or calculate a value of a Property of a FeatureOfInterest.  Links to Sensing and Sensor describe what made the Observation and how; links to Property and Feature detail what was sensed; the result is the output of a Sensor; other metadata details times etc.,lov_fiesta-iot,v1-0-2
79,http://purl.org/iot/vocab/m3-lite#Decibel,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,Decibel,type,Class,lov_fiesta-iot,v1-0-2
80,http://purl.org/iot/vocab/m3-lite#WindDirection,http://www.w3.org/2000/01/rdf-schema#comment,The geodetic azimuth of the direction from which the wind is blowing.,WindDirection,comment,The geodetic azimuth of the direction from which the wind is blowing.,lov_fiesta-iot,v1-0-2
81,http://purl.org/iot/vocab/m3-lite#Inch,http://www.w3.org/2000/01/rdf-schema#comment,Length in inches.,Inch,comment,Length in inches.,lov_fiesta-iot,v1-0-2
82,http://purl.org/iot/vocab/m3-lite#NFC,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,NFC,type,Class,lov_fiesta-iot,v1-0-2
83,http://purl.org/iot/vocab/m3-lite#ABS,http://www.w3.org/2000/01/rdf-schema#subClassOf,ub350bL1338C26,ABS,subClassOf,ub350bL1338C26,lov_fiesta-iot,v1-0-2
84,http://purl.org/iot/vocab/m3-lite#Invalid,http://www.w3.org/2000/01/rdf-schema#comment,If the measurement was tagged invalid.,Invalid,comment,If the measurement was tagged invalid.,lov_fiesta-iot,v1-0-2
85,http://www.onem2m.org/ontology/Base_Ontology/base_ontology#ThingProperty,http://www.w3.org/2000/01/rdf-schema#comment,"A Value (Class: Value) denotes a property of a Thing. A Value can e.g. be observed or influenced by devices, or it constitutes static data about a Thing.
E.g. the indoor temperature of the room could be a Value of a Thing ""room"".
A Value of a thing can concern a certain Aspect, e.g. the indoor temperature concerns the Aspect ""Temperature"" that could be measured by a temperature sensor.
A Value of a Thing can have meta data",ThingProperty,comment,"A Value (Class: Value) denotes a property of a Thing. A Value can e.g. be observed or influenced by devices, or it constitutes static data about a Thing.
E.g. the indoor temperature of the room could be a Value of a Thing ""room"".
A Value of a thing can concern a certain Aspect, e.g. the indoor temperature concerns the Aspect ""Temperature"" that could be measured by a temperature sensor.
A Value of a Thing can have meta data",lov_fiesta-iot,v1-0-2
86,http://purl.org/iot/vocab/m3-lite#City,http://www.w3.org/2000/01/rdf-schema#label,Smart City DOI,City,label,Smart City DOI,lov_fiesta-iot,v1-0-2
87,http://purl.org/iot/vocab/m3-lite#MotionState,http://www.w3.org/2000/01/rdf-schema#label,Motion State,MotionState,label,Motion State,lov_fiesta-iot,v1-0-2
88,http://purl.org/iot/ontology/fiesta-iot#,http://purl.org/dc/elements/1.1/creator,"Rachit Agarwal, Inria, Paris",fiesta-iot,creator,"Rachit Agarwal, Inria, Paris",lov_fiesta-iot,v1-0-2
89,http://purl.oclc.org/NET/UNIS/fiware/iot-lite#isSubSystemOf,http://www.w3.org/2002/07/owl#inverseOf,http://purl.oclc.org/NET/ssnx/ssn#hasSubSystem,isSubSystemOf,inverseOf,hasSubSystem,lov_fiesta-iot,v1-0-2
90,http://purl.org/iot/vocab/m3-lite#VisibilitySensor,http://www.w3.org/2000/01/rdf-schema#comment,Device used to detect Visibility.,VisibilitySensor,comment,Device used to detect Visibility.,lov_fiesta-iot,v1-0-2
91,ub350bL3039C26,http://www.w3.org/2002/07/owl#onProperty,http://purl.oclc.org/NET/ssnx/ssn#hasValue,ub350bL3039C26,onProperty,hasValue,lov_fiesta-iot,v1-0-2
92,http://purl.org/iot/vocab/m3-lite#RoadOccupancy,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/NET/ssnx/qu/qu#QuantityKind,RoadOccupancy,subClassOf,QuantityKind,lov_fiesta-iot,v1-0-2
93,http://purl.org/iot/vocab/m3-lite#Milliampere,http://www.w3.org/2000/01/rdf-schema#label,Milliampere (mA),Milliampere,label,Milliampere (mA),lov_fiesta-iot,v1-0-2
94,http://purl.oclc.org/NET/UNIS/fiware/iot-lite#hasAttribute,http://www.w3.org/2000/01/rdf-schema#domain,http://purl.oclc.org/NET/UNIS/fiware/iot-lite#Object,hasAttribute,domain,Object,lov_fiesta-iot,v1-0-2
95,http://purl.org/iot/vocab/m3-lite#SoundPressureLevelAmbient,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#SoundPressureLevel,SoundPressureLevelAmbient,subClassOf,SoundPressureLevel,lov_fiesta-iot,v1-0-2
96,http://purl.org/iot/vocab/m3-lite#AirTemperature,http://www.w3.org/2000/01/rdf-schema#comment,The temperature of the air that would be indicated by a thermometer exposed to the air at a location sheltered from direct solar radiation.,AirTemperature,comment,The temperature of the air that would be indicated by a thermometer exposed to the air at a location sheltered from direct solar radiation.,lov_fiesta-iot,v1-0-2
97,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#AnnotationProperty,isDefinedBy,type,AnnotationProperty,lov_fiesta-iot,v1-0-2
98,ub350bL700C26,http://www.w3.org/2002/07/owl#onClass,http://purl.oclc.org/NET/UNIS/fiware/iot-lite#Coverage,ub350bL700C26,onClass,Coverage,lov_fiesta-iot,v1-0-2
99,ub350bL2971C26,http://www.w3.org/2002/07/owl#someValuesFrom,http://purl.org/iot/vocab/m3-lite#Weather,ub350bL2971C26,someValuesFrom,Weather,lov_fiesta-iot,v1-0-2
100,http://data.qudt.org/qudt/owl/1.0.0/unit.owl#ElectricCurrent,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/NET/ssnx/qu/qu#QuantityKind,ElectricCurrent,subClassOf,QuantityKind,lov_fiesta-iot,v1-0-2
101,http://purl.org/iot/vocab/m3-lite#Motion,http://www.w3.org/2000/01/rdf-schema#comment,It is the action or process of moving or being moved.,Motion,comment,It is the action or process of moving or being moved.,lov_fiesta-iot,v1-0-2
102,http://purl.org/iot/vocab/m3-lite#GramPerLiter,http://www.w3.org/2000/01/rdf-schema#label,Gram Per Liter (g/L),GramPerLiter,label,L),lov_fiesta-iot,v1-0-2
103,http://purl.org/iot/vocab/m3-lite#AtmosphericPressure,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://openiot.eu/ontology/ns/AtmospherePressure,AtmosphericPressure,seeAlso,AtmospherePressure,lov_fiesta-iot,v1-0-2
104,http://purl.org/iot/vocab/m3-lite#Ventilation,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,Ventilation,type,Class,lov_fiesta-iot,v1-0-2
105,http://purl.org/iot/vocab/m3-lite#SnowChains,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.oclc.org/NET/UNIS/fiware/iot-lite#ActuatingDevice,SnowChains,subClassOf,ActuatingDevice,lov_fiesta-iot,v1-0-2
106,http://purl.org/iot/vocab/m3-lite#O3Sensor,http://www.w3.org/2000/01/rdf-schema#label,Ozone (O3) Sensor,O3Sensor,label,Ozone (O3) Sensor,lov_fiesta-iot,v1-0-2
107,ub350bL887C26,http://www.w3.org/2002/07/owl#onProperty,http://purl.org/iot/vocab/m3-lite#hasDomainOfInterest,ub350bL887C26,onProperty,hasDomainOfInterest,lov_fiesta-iot,v1-0-2
108,http://purl.oclc.org/NET/ssnx/ssn#observedBy,http://www.w3.org/2000/01/rdf-schema#comment,Relation between a observation and it sensor.,observedBy,comment,Relation between a observation and it sensor.,lov_fiesta-iot,v1-0-2
109,http://purl.org/iot/vocab/m3-lite#intUlPacketLoss,http://www.w3.org/2000/01/rdf-schema#label,Uplink Packet Loss,intUlPacketLoss,label,Uplink Packet Loss,lov_fiesta-iot,v1-0-2
110,ub350bL233C26,http://www.w3.org/2002/07/owl#onProperty,http://purl.org/iot/vocab/m3-lite#hasDomainOfInterest,ub350bL233C26,onProperty,hasDomainOfInterest,lov_fiesta-iot,v1-0-2
111,http://purl.org/iot/vocab/m3-lite#RetERabDrop,http://www.w3.org/2000/01/rdf-schema#label,ERAB Drop,RetERabDrop,label,ERAB Drop,lov_fiesta-iot,v1-0-2
112,http://purl.org/iot/vocab/m3-lite#Tourism,http://www.w3.org/2000/01/rdf-schema#comment,Tourism as an Internet of Things (IoT) applicative domain.,Tourism,comment,Tourism as an Internet of Things (IoT) applicative domain.,lov_fiesta-iot,v1-0-2
113,http://purl.org/iot/vocab/m3-lite#CloudCoverSensor,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.oclc.org/NET/ssnx/ssn#SensingDevice,CloudCoverSensor,subClassOf,SensingDevice,lov_fiesta-iot,v1-0-2
114,http://purl.org/iot/vocab/m3-lite#Pedometer,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.oclc.org/NET/ssnx/ssn#SensingDevice,Pedometer,subClassOf,SensingDevice,lov_fiesta-iot,v1-0-2
115,http://purl.org/iot/vocab/m3-lite#Precipitation,http://www.w3.org/2000/01/rdf-schema#label,Precipitation,Precipitation,label,Precipitation,lov_fiesta-iot,v1-0-2
116,http://purl.org/iot/vocab/m3-lite#RadianPerSecond,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://purl.oclc.org/NET/ssnx/qu/unit#radianPerSecond,RadianPerSecond,seeAlso,radianPerSecond,lov_fiesta-iot,v1-0-2
117,http://purl.org/iot/vocab/m3-lite#FillLevelGasTank2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,FillLevelGasTank2,type,Class,lov_fiesta-iot,v1-0-2
118,ub350bL650C26,http://www.w3.org/2002/07/owl#onProperty,http://purl.org/iot/vocab/m3-lite#hasDomainOfInterest,ub350bL650C26,onProperty,hasDomainOfInterest,lov_fiesta-iot,v1-0-2
119,http://purl.org/iot/vocab/m3-lite#BatteryLevel,http://www.w3.org/2000/01/rdf-schema#label,Battery Level Quantity Kind,BatteryLevel,label,Battery Level Quantity Kind,lov_fiesta-iot,v1-0-2
